cum_elapsed_time,to,cum_react_time,from,timeout,user_action,token_id,caregiver_feedback,avg_caregiver_assistance_per_move,attempt
1.048,1,1.964,14,1,,1601,0,0.0,2
1.312,2,5.061,9,3,,1427,0,0.0,4
0.677,3,1.447,6,4,,1279,0,0.0,2
0.0,4,0.0,20,5,,1213,0,0.0,2
2.133,5,3.179,16,6,,1085,0,0.0,2
