cum_elapsed_time,to,cum_react_time,from,timeout,user_action,token_id,caregiver_feedback,avg_caregiver_assistance_per_move,attempt
2.262,1,6.995,20,1,,565,0,0.0,3
0.0,2,0.0,17,1,,499,0,0.0,2
0.0,3,0.0,11,1,,321,0,0.0,2
0.5,4,7.182,8,0,,311,0,0.0,1
0.598,5,7.798,15,0,,177,0,0.0,1
